id,city_name,population,rank,state,state_abbr
256,Billings,109059,256,Montana,MT
257,Lowell,108861,257,Massachusetts,MA
258,San Buenaventura (Ventura),108817,258,California,CA
259,Pueblo,108249,259,Colorado,CO
260,High Point,107741,260,North Carolina,NC
261,West Covina,107740,261,California,CA
262,Richmond,107571,262,California,CA
263,Murrieta,107479,263,California,CA
264,Cambridge,107289,264,Massachusetts,MA
265,Antioch,107100,265,California,CA
266,Temecula,106780,266,California,CA
267,Norwalk,106589,267,California,CA
268,Centennial,106114,268,Colorado,CO
269,Everett,105370,269,Washington,WA
270,Palm Bay,104898,270,Florida,FL
271,Wichita Falls,104898,271,Texas,TX
272,Green Bay,104779,272,Wisconsin,WI
273,Daly City,104739,273,California,CA
