id,city_name,population,rank,state,state_abbr
735,Lenexa,50344,735,Kansas,KS
736,Saginaw,50303,736,Michigan,MI
737,Kentwood,50233,737,Michigan,MI
738,Doral,50213,738,Florida,FL
739,Apple Valley,50201,739,Minnesota,MN
740,Grapevine,50195,740,Texas,TX
741,Aliso Viejo,50175,741,California,CA
742,Sammamish,50169,742,Washington,WA
743,Casa Grande,50111,743,Arizona,AZ
744,Pinellas Park,49998,744,Florida,FL
745,Troy,49974,745,New York,NY
746,West Sacramento,49891,746,California,CA
747,Burien,49858,747,Washington,WA
748,Commerce City,49799,748,Colorado,CO
749,Monroe,49761,749,Louisiana,LA
750,Cerritos,49707,750,California,CA
751,Downers Grove,49670,751,Illinois,IL
752,Coral Gables,49631,752,Florida,FL
753,Wilson,49628,753,North Carolina,NC
754,Niagara Falls,49468,754,New York,NY
755,Poway,49417,755,California,CA
756,Edina,49376,756,Minnesota,MN
757,Cuyahoga Falls,49267,757,Ohio,OH
758,Rancho Santa Margarita,49228,758,California,CA
759,Harrisburg,49188,759,Pennsylvania,PA
760,Huntington,49177,760,West Virginia,WV
761,La Mirada,49133,761,California,CA
762,Cypress,49087,762,California,CA
763,Caldwell,48957,763,Idaho,ID
764,Logan,48913,764,Utah,UT
765,Galveston,48733,765,Texas,TX
766,Sheboygan,48725,766,Wisconsin,WI
767,Middletown,48630,767,Ohio,OH
768,Murray,48612,768,Utah,UT
769,Roswell,48611,769,New Mexico,NM
770,Parker,48608,770,Colorado,CO
771,Bedford,48592,771,Texas,TX
772,East Lansing,48554,772,Michigan,MI
773,Methuen,48514,773,Massachusetts,MA
774,Covina,48508,774,California,CA
775,Alexandria,48426,775,Louisiana,LA
776,Olympia,48338,776,Washington,WA
777,Euclid,48139,777,Ohio,OH
778,Mishawaka,47989,778,Indiana,IN
779,Salina,47846,779,Kansas,KS
780,Azusa,47842,780,California,CA
781,Newark,47777,781,Ohio,OH
782,Chesterfield,47749,782,Missouri,MO
783,Leesburg,47673,783,Virginia,VA
784,Dunwoody,47591,784,Georgia,GA
